"ProjectID","Partner","Project","Project_Status","Pillars_supported_by_project","Activities_conducted2","Implementing_partner","Regions","Districts"
"ID-1","Catholic Relief Services","COVID-19 activities only","Ongoing Project","Infection prevention, WASH, Human resources","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Ensure remuneration and compensation of responders,  Faecal Sludge Management: desludging 52 institutional and 600 PSN households latrines. Household latrines desludging through Community-based sanitation entrepreneurs. PSN households will received cash support through evoucher to cover desludging costs to the sanitation entrepreneurs.","","West Nile","Yumbe"
"ID-2","AVSI FOUNDATION","District Health System Strengthening on RMNCAH, HIV, and Nutrition Westnile, Lamwo and Kiryandongo districts","Ongoing Project","Coordination, Infection prevention, Surveillance, Laboratory, Case management, WASH, Risk communications, Logistics","Conduct a simulation/drill exercise, Orientation for surge staff, Technical support to local governments on COVID_19 Response, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information  management, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Orient Health workers on COVID-19 surveillance, Facilitation of point of entry supervisors, Case Investigation, Identify all centres of risk and assess them for potential foci of undetected circulation of the virus, Contact identification, contact tracing, and contact follow up and contacts of contacts, Define containment measures including geographical cordoning, Orientation of Health care workers in Regional Referral Hospitals, Severe Acute Respiratory Illness (SARI) sentinel sites on mangemnet of suspect and confirmed cases, Activate Ambulance services to aid referral of patients, Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community.,  Targeted rehabilitation of 17 Delivery Wards in HCIII and IV in West Nile including WASH and Lighting","","Acholi, Bunyoro, West Nile","Lamwo, Kiryandongo, Maracha, Pakwach, Zombo, Yumbe, Adjumani, Arua, Nebbi, Koboko, Moyo, Madiokollo, Obongi"
"ID-3","Hope for Children","COVID-19 Activities","Ongoing Project","WASH, Mental health, Risk communications, Logistics, Human resources","Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of thermoscanners for points of entry, Recruitment costs for additional staff,  Dry foods distribution","","Kampala","Kampala"
"ID-4","Self Help Africa","Sustainable Livelihoods (SUSTAIN)","Ongoing Project","Coordination, Infection prevention, WASH, Risk communications","Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, None,  Provision of agricultural inputs for 1000 households","Implemeted directly in partnership with District Local Government, Directly, Direct Implementation, Direct implementation","West Nile","Adjumani"
"ID-5","Self Help Africa","Increasing Household Income and Livelihoods for Women and Youth in Teso, North-east Uganda","Ongoing Project","Infection prevention, WASH, Risk communications, Logistics","Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, None,  Distribution of assorted seeds and inputs for 1000 households","Volutary Action for Development (VAD) and Kapelebyong District Local Government (DLG), VAD and Kapelebyong DLG, VAD and Kapelebyong DLG, VAD and Kapelebyong DLG","Teso","Kapelebyong"
"ID-6","CARE International ","Women Adolescent and Youth Rights and Empowerment Project (WAY)","Ongoing Project","Infection prevention, Risk communications","Procure or construct IPC materials for health facilities, None,","","Acholi, West Nile","Lamwo, Amuru, Kitgum, Agago, Yumbe, Adjumani, Arua, Moyo, Madiokollo, Obongi"
"ID-7","International Justice Mission","COVID-19 activities only","New Project","Mental health, Risk communications","Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, None,  However, IJM is waiting to hear back about a proposal we submitted to the German government (via BMZ) for funding to put towards combatting GBV during the COVID crisis. Regardless of whether we are successful in our proposal, IJM will be  putting funds towards supporting the Uganda Child Helpline, the MGLSD (PSWOs) and Uganda Police (CID) to help them combat GBV. We are hoping to purchase motorbikes and support shelters serving vulnerable women and children.","Private counselors","Kampala","Kampala"
"ID-16","Engineering Ministries International","COVID-19 activities only","New Project","Logistics","None,","","Kampala, Kampala","Kampala, Kampala"
"ID-17","CARE International","COVID-19 Response","New Project","WASH, Mental health, Risk communications, Logistics","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of infared thermometers, Offloadingand transportation of commodities, Fuel and maintenance requirementst for central (delivery of medical supplies, IEC materials), Procurement of sanitizers, Procurement of soap, None,  Conducting a Rapid Gender Analysis in Gulu, Omugo, and Kyangwali","","Bunyoro, West Nile, Bunyoro, West Nile","Kikuube, Arua, Kikuube, Arua, Madiokollo"
"ID-18","CARE International","Enhanced Emergency Preparedness in Kikuube District","Ongoing Project","Coordination, Risk communications, Logistics","Technical support to local governments on COVID_19 Response, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Fuel and maintenance requirementst for central (delivery of medical supplies, IEC materials), Procurement of sanitizers, None,  Training of Kikuube district COVID-19 taskforce,  and Sub County and Refugee Settlement leadership on COVID 19 impact on Gender & Protection","","Bunyoro","Kikuube"
