"District","Coordination_n","PreventionControl_n","Surveillance_n","CaseManagement_n","RiskCommunication_n","MentalHealth_n","ICTInnovation_n","WASH_n","Logistics_n","HumanResources_n","Laboratory_n","Coordination","PreventionControl","Surveillance","CaseManagement","RiskCommunication","MentalHealth","ICTInnovation","WASH","Logistics","HumanResources","Laboratory"
"AGAGO",5,3,1,1,5,3,1,4,5,2,0,"Adventist Development & Relief Agency (ADRA) | ChildFund International | Danish Refugee Council (DRC) | Ministry of Health | UNICEF","Adventist Development & Relief Agency (ADRA) | Takataka Plastics | UNICEF","BRAC Uganda","UNICEF","Adventist Development & Relief Agency (ADRA) | ChildFund International | Danish Refugee Council (DRC) | UNICEF | World Vision Uganda","ChildFund International | UNICEF | World Vision Uganda","ChildFund International","Adventist Development & Relief Agency (ADRA) | ChildFund International | UNICEF | World Vision Uganda","BRAC Uganda | ChildFund International | Takataka Plastics | UNICEF | World Vision Uganda","UNICEF | World Vision Uganda",
"AMURU",4,2,0,2,2,2,0,1,2,1,0,"MapUganda | Ministry of Health | Tackling Deadly Diseases in Africa Programme (TDDAP) | UNICEF","Takataka Plastics | UNICEF",,"Save the Children International | UNICEF","Save the Children International | UNICEF","Save the Children International | UNICEF",,"UNICEF","Takataka Plastics | UNICEF","UNICEF",
"GULU",5,3,3,5,7,4,2,5,6,3,0,"ChildFund International | Ministry of Health | Trocaire | UNICEF | Voluntary Services Overseas (VSO)","Takataka Plastics | UNICEF | Voluntary Services Overseas (VSO)","BRAC Uganda | Makerere University Walter Reed Project | Voluntary Services Overseas (VSO)","CARE International | Makerere University Walter Reed Project | Save the Children International | UNICEF | Voluntary Services Overseas (VSO)","BRAC Uganda | CARE International | ChildFund International | Save the Children International | UNICEF | Voluntary Services Overseas (VSO) | World Vision Uganda","CARE International | ChildFund International | Save the Children International | UNICEF","ChildFund International | Voluntary Services Overseas (VSO)","ChildFund International | Trocaire | UNICEF | Voluntary Services Overseas (VSO) | World Vision Uganda","BRAC Uganda | ChildFund International | Takataka Plastics | UNICEF | Voluntary Services Overseas (VSO) | World Vision Uganda","UNICEF | Voluntary Services Overseas (VSO) | World Vision Uganda",
"KITGUM",8,4,2,1,6,3,2,4,6,2,0,"Adventist Development & Relief Agency (ADRA) | ChildFund International | Danish Refugee Council (DRC) | Food for the Hungry | Food for the Hungry Association | MapUganda | Ministry of Health | UNICEF","Adventist Development & Relief Agency (ADRA) | Food for the Hungry | Takataka Plastics | UNICEF","BRAC Uganda | Food for the Hungry","UNICEF","Adventist Development & Relief Agency (ADRA) | ChildFund International | Danish Refugee Council (DRC) | Food for the Hungry | Food for the Hungry Association | UNICEF","ChildFund International | Food for the Hungry Association | UNICEF","ChildFund International | Food for the Hungry Association","Adventist Development & Relief Agency (ADRA) | ChildFund International | Food for the Hungry | UNICEF","BRAC Uganda | ChildFund International | Food for the Hungry | Food for the Hungry Association | Takataka Plastics | UNICEF","Food for the Hungry | UNICEF",
"LAMWO",10,5,3,3,8,6,1,6,7,4,1,"Danish Refugee Council (DRC) | Food for the Hungry | Food for the Hungry Association | Lutheran World Federation | MapUganda | Ministry of Health | Street Child of Uganda | Trocaire | UNICEF | United Nations High Commissioner For Refugees","Food for the Hungry | Lutheran World Federation | Takataka Plastics | UNICEF | United Nations High Commissioner For Refugees","BRAC Uganda | Lutheran World Federation | United Nations High Commissioner For Refugees","Lutheran World Federation | UNICEF | United Nations High Commissioner For Refugees","Danish Refugee Council (DRC) | Food for the Hungry Association | Lutheran World Federation | Save the Children International | Street Child of Uganda | Trocaire | UNICEF | United Nations High Commissioner For Refugees","Food for the Hungry Association | Lutheran World Federation | Street Child of Uganda | Trocaire | UNICEF | United Nations High Commissioner For Refugees","Food for the Hungry Association","Food for the Hungry Association | Lutheran World Federation | Street Child of Uganda | Trocaire | UNICEF | United Nations High Commissioner For Refugees","BRAC Uganda | Dan Church Aid (DCA) | Lutheran World Federation | Takataka Plastics | Trocaire | UNICEF | United Nations High Commissioner For Refugees","Lutheran World Federation | Trocaire | UNICEF | United Nations High Commissioner For Refugees","Food for the Hungry Association"
"NWOYA",2,2,0,1,2,2,0,1,3,1,0,"Ministry of Health | UNICEF","Takataka Plastics | UNICEF",,"UNICEF","Save the Children International | UNICEF","Save the Children International | UNICEF",,"UNICEF","Save the Children International | Takataka Plastics | UNICEF","UNICEF",
"OMORO",2,2,0,2,3,3,0,2,3,3,0,"Ministry of Health | UNICEF","Takataka Plastics | UNICEF",,"Save the Children International | UNICEF","Save the Children International | UNICEF | World Vision Uganda","Save the Children International | UNICEF | World Vision Uganda",,"UNICEF | World Vision Uganda","Takataka Plastics | UNICEF | World Vision Uganda","Save the Children International | UNICEF | World Vision Uganda",
"PADER",3,3,1,1,3,2,0,3,4,2,0,"Adventist Development & Relief Agency (ADRA) | Ministry of Health | UNICEF","Adventist Development & Relief Agency (ADRA) | Takataka Plastics | UNICEF","BRAC Uganda","UNICEF","Adventist Development & Relief Agency (ADRA) | UNICEF | World Vision Uganda","UNICEF | World Vision Uganda",,"Adventist Development & Relief Agency (ADRA) | UNICEF | World Vision Uganda","BRAC Uganda | Takataka Plastics | UNICEF | World Vision Uganda","UNICEF | World Vision Uganda",
"BUHWEJU",2,2,3,2,3,1,3,1,3,2,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation",
"BUSHENYI",2,2,4,2,3,1,3,1,4,2,0,"Ministry of Health | World Health Organisation","United States Agency for International Development | World Health Organisation","BRAC Uganda | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","BRAC Uganda | UNICEF | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation",
