ProjectID,Partner,Project,Project_Status,Pillars_supported_by_project,Activities_conducted,Other_nonpPillar_activities,Implementing_partner,Regions,Districts
ID-1,Catholic Relief Services,COVID-19 activities only,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Logistics, Human resource","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, ",Faecal Sludge Management: desludging 52 institutional and 600 PSN households latrines. Household latrines desludging through Community-based sanitation entrepreneurs. PSN households will received cash support through evoucher to cover desludging costs to the sanitation entrepreneurs.,,West Nile,Yumbe
ID-2,AVSI Foundation,"District Health System Strengthening on RMNCAH, HIV, and Nutrition Westnile, Lamwo and Kiryandongo districts",ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Risk communications, Logistics, Human resource","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community., ",Targeted rehabilitation of 17 Delivery Wards in HCIII and IV in West Nile including WASH and Lighting,,"Acholi, Bunyoro, West Nile","Lamwo, Kiryandongo, Maracha, Pakwach, Zombo, Yumbe, Adjumani, Arua, Nebbi, Koboko, Moyo, Madiokollo, Obongi"
ID-3,Hope for Children,COVID-19 Activities,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Mental health, Risk communications, Logistics, Human resource","Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, ",Dry foods distribution,,Kampala,Kampala
ID-4,Self Help Africa,Sustainable Livelihoods (SUSTAIN),ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Risk communications, Logistics, Human resource","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, ",Provision of agricultural inputs for 1000 households,"Implemeted directly in partnership with District Local Government, Directly, Direct Implementation, Direct implementation",West Nile,Adjumani
ID-5,Self Help Africa,"Increasing Household Income and Livelihoods for Women and Youth in Teso, North-east Uganda",ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Risk communications, Logistics, Human resource","Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist., Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, ",Distribution of assorted seeds and inputs for 1000 households,"Volutary Action for Development (VAD) and Kapelebyong District Local Government (DLG), VAD and Kapelebyong DLG, VAD and Kapelebyong DLG, VAD and Kapelebyong DLG",Teso,Kapelebyong
ID-6,CARE International ,Women Adolescent and Youth Rights and Empowerment Project (WAY),ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, Risk communications, Logistics, Human resource",,NA,,"Acholi, West Nile","Lamwo, Amuru, Kitgum, Agago, Yumbe, Adjumani, Arua, Moyo, Madiokollo, Obongi"
ID-7,International Justice Mission,COVID-19 activities only,new_project,"Coordination, Infection prevention, Surveillance, Case management, Mental health, Risk communications, Logistics, Human resource","Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, ","However, IJM is waiting to hear back about a proposal we submitted to the German government (via BMZ) for funding to put towards combatting GBV during the COVID crisis. Regardless of whether we are successful in our proposal, IJM will be  putting funds towards supporting the Uganda Child Helpline, the MGLSD (PSWOs) and Uganda Police (CID) to help them combat GBV. We are hoping to purchase motorbikes and support shelters serving vulnerable women and children.",Private counselors,Kampala,Kampala
ID-16,Engineering Ministries International,COVID-19 activities only,new_project,"Coordination, Infection prevention, Surveillance, Case management, Logistics, Human resource",,NA,,"Kampala, Kampala","Kampala, Kampala"
ID-17,CARE International,COVID-19 Response,new_project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Mental health, Risk communications, Logistics, Human resource","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Deploy counsellors to communites and affected families to mitigate psychosocial effects of corona virus, ","Conducting a Rapid Gender Analysis in Gulu, Omugo, and Kyangwali",,"Bunyoro, West Nile, Bunyoro, West Nile","Kikuube, Arua, Kikuube, Arua, Madiokollo"
ID-18,CARE International,Enhanced Emergency Preparedness in Kikuube District,ongoing_project,"Coordination, Infection prevention, Surveillance, Case management, Risk communications, Logistics, Human resource",,"Training of Kikuube district COVID-19 taskforce,  and Sub County and Refugee Settlement leadership on COVID 19 impact on Gender & Protection",,Bunyoro,Kikuube
