ProjectID,Partner,Project,Project_Status,Pillars_supported_by_project,Activities_conducted,Other_nonpPillar_activities,Implementing_partner,Regions,Districts
ID-1,Catholic Relief Services,COVID-19 activities only,ongoing project,"Infection prevention, WASH, Human resource","Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Ensure remuneration and compensation of responders",Faecal Sludge Management: desludging 52 institutional and 600 PSN households latrines. Household latrines desludging through Community-based sanitation entrepreneurs. PSN households will received cash support through evoucher to cover desludging costs to the sanitation entrepreneurs.,None,West Nile,Yumbe
ID-100,World Vision Uganda,World  Vision Uganda- West Nile Refugee Response COVID-19 community response,new project,"Coordination, Infection prevention, WASH, Mental health, Risk communications, Logistics, other","Activation of National Task Force, district task force and sub-committees, Develop and issue information products including situational reports on COVID-19, Procure or construct IPC materials for health facilities, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist. Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community, Supervise and monitor psychosocial services in the affected communities by the central team, supplies, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procure disinfection consumables and biohazard waste management (bin liners, alcohol hand rub, jiks, spray pumps), Procurement of thermoscanners for points of entry Procurement of infared thermometers, fuelProcurement of sanitizers, procureProcurement of water tanks, ",,None,West Nile,"Yumbe, Adjumani, Arua, Koboko, Moyo, Obongi"
ID-101,LifeNet International,Protecting Ugandan Healthcare Workers,new project,"Coordination, Infection prevention, Surveillance, Case management, WASH, ICT innovations, Risk communications, Logistics, Human resource","Develop and issue information products including situational reports on COVID-19, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Conduct surveillance for Hospital acquired infections for COVID-19 in health facilities, Orient Health workers on COVID-19 surveillance, Orientation of high volume private facilities on detection and linking of suspect and confirmed cases to the designated isolation facilities, Assess public and private health facilities for COVID-19 readiness (including IPC capacity, on-site Oxygen production and supply, and logistics) on a quarterly basis. , Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities personnel, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of infared thermometers, Procurement of sanitizers, Procurement of soap, Water, Sanitation & Hygiene transportation, last mile distribution, and other logistics costs, Ensure remuneration and compensation of health care providers",,,"Busoga, Kampala, North Buganda, South Buganda","Iganga, Jinja, Mayuge, Kampala, Buikwe, Nakasongola, Mubende, Mukono, Nakaseke, Mityana, Masaka, Wakiso, Bukomansimbi, Mpigi, Lwengo, Ssembabule, Butambala, Kyotera, Rakai"
ID-102,LifeNet International,Building Capacity of Frontline Healthcare Workers,ongoing project,"Coordination, Infection prevention, WASH, ICT innovations, other","Monitor and supervise implementation of the plan by the national level, Develop and issue information products including situational reports on COVID-19,Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Conduct surveillance for Hospital acquired infections for COVID-19 in health facilities, Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, improvement of WASH ",,,"Busoga, Kampala, North, Buganda, South Buganda","Iganga, Jinja, Mayuge, Kampala, Buikwe, Luwero, Nakasongola, Mubende, Mukono, Nakaseke, Mityana, Masaka, Wakiso, Bukomansimbi, Mpigi, Lwengo, Butambala, Kyotera, Rakai"
ID-104,Welthungerhilfe,Covid 19 activities only,new project,"Coordination, Infection prevention, WASH, Risk communications, Logistics, other","Technical support to local governments on COVID-19, Strengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information management, Procure or construct IPC materials for health facilities, Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community,personnel, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of infared thermometers, ",,"CEFORD, PALM, USSIA, KIFAD, JESE, SATNET, KIMA FOODS","Kampala, Karamoja, Teso, Toro, West Nile, Acholi","Kampala, Moroto, Napak, Amuria Katakwi, Kabarole, Kasese, Yumbe, Arua"
ID-105,Plan International Uganda,COVID-19 Response,new project,"Coordination, Infection prevention, Surveillance, Case management, WASH, Risk communications, Logistics, other","Activation of National Task Force, district task force and sub-committees, Technical support to local governments on COVID-19, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Orient Health workers on COVID-19 surveillance, Activate Ambulance services to aid referral of patients, Welfare and food assistance for quarantineed individuals in other institutions, Procure WASH infrastructure, supplies and commodities to strengthen hygiene practices in affected communities supplies, Procurement of Personal protective equipments (coveralls, masks, gloves, face shields, gumboots, N95 respirator, aprons, PPE full kit), Procurement of sanitizers, ",,,"Bukedi, Busoga, Lango, West Nile","Tororo, Kamuli, Buyende, Lira, Nebbi"
ID-106,Voluntary Services Overseas (VSO),COVID-19 Activities,ongoing project,"Coordination, Infection prevention, Surveillance, Case management, WASH, ICT innovations, Risk communications, Logistics, Human resource","Conduct a simulation/drill exercise, Orientation for surge staffStrengthen capacity of EHD and districts for WASH coordination, monitoring, supervision and information management,Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions,Printing and distribution of tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance,Facilitation of point of entry supervisors, Orientation of Health care workers in Regional Referral Hospitals, Severe Acute Respiratory Illness (SARI) sentinel sites on mangemnet of suspect and confirmed cases, Assess public and private health facilities for COVID-19 readiness (including IPC capacity, on-site Oxygen production and supply, and logistics) on a quarterly basis. Activate Ambulance services to aid referral of patients, Support engagements with authorities on improvement of WASH in congregation institutions using the standardized checklist. Conduct hygiene promotion and sensitization workshops on use of WASH commodities in congregational settings, Support community engagement meetings on improvement of WASH, Support the operationalization of WASH committees in the community, Strengthen the District routine reporting data, fuel Printing of the Public Health (COVID 19) Statutory Instrument, Facilitation for COVID Response Teams",,,"Acholi, Karamoja, West Nile","Gulu, Moroto, Napak, Madiokollo, Gulu"
ID-107,International Rescue Committee (IRC),Epidemic preparedness and response and life-saving health services to newly arrived refugees and vulnerable host community members in Uganda,new project,"Coordination, Infection prevention, Surveillance, Case management, Risk communications, other","Activation of National Task Force, district task force and sub-committees, Technical support to local governments on COVID-19,  Procure or construct IPC materials for health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions, Conduct rapid risk and capacity assessments at district, critical point of entry and points of congregation. Identify priority risk groups based on current surveillance data and baseline risk assessment, Printing and distribution of tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance, Activate Ambulance services to aid referral of patients, supplies",,None,"Toro, West Nile","Kyegegwa, Kasese, Kamwenge, Ntoroko, Yumbe, Adjumani, Arua, Madiokollo,"
ID-108,International Rescue Committee (IRC),"Provision of Protection, Legal, Community-Based Protection Services, SGBV, Child Protection, Psychosocial Support and Health and Nutrition Services for Refugees residing in Arua, Yumbe, and Lamwo",new project,"Coordination, Infection prevention, Surveillance, Case management, Risk communications, Human resource","Activation of National Task Force, district task force and sub-committees, Technical support to local governments on COVID-19, Revise and disseminate adapted IPC standard operating procedures and strategy for IPC and hospital acquired infections for COVID-19 to health facilities, Conduct IPC refresher training and onsite mentorship on standard and transmission-based precautions,Printing and distribution of tools: case definition, case investigation, contact tracing, alert verificatio, immediate reporting forms, Orient Health workers on COVID-19 surveillance, Food assistance and/or specialised nutrition foods for suspects and health workers in isolation, supplies, Recruitmement of surge staff",,None,West Nile,"Yumbe, Adjumani, Arua, Madiokollo"
ID-109,International Rescue Committee (IRC),"U-LEARN (Uganda learning, evidence, and accountability research network) -Consortium led by Save",ongoing project,"Risk communications, other",supplies,,,"Kampala, Toro","Kampala, Kyegegwa, Kasese, Ntoroko, Yumbe, Adjumani, Arua, Madiokollo"
