District,Coordination_n,PreventionControl_n,Surveillance_n,RiskCommunication_n,MentalHealth_n,ICTInnovation_n,WASH_n,Logistics_n,HumanResources_n,CaseManagement_n,Coordination,PreventionControl,Surveillance,CaseManagement,RiskCommunication,MentalHealth,ICTInnovation,WASH,Logistics,HumanResources
AGAGO,23,18,0,20,11,1,9,21,21,1,Adventist Development & Relief Agency (ADRA) | ChildFund International | Danish Refugee Council (DRC) | UNICEF,Adventist Development & Relief Agency (ADRA) | Takataka Plastics | UNICEF,NA,UNICEF,Adventist Development & Relief Agency (ADRA) | ChildFund International | Danish Refugee Council (DRC) | UNICEF | World Vision Uganda,ChildFund International | UNICEF | World Vision Uganda,ChildFund International,Adventist Development & Relief Agency (ADRA) | ChildFund International | UNICEF | World Vision Uganda,ChildFund International | Takataka Plastics | UNICEF | World Vision Uganda,ChildFund International | Takataka Plastics | UNICEF | World Vision Uganda
AMURU,12,10,0,9,7,0,1,11,10,11,Tackling Deadly Diseases in Africa Programme (TDDAP) | UNICEF,Takataka Plastics | UNICEF,NA,Save the Children International | UNICEF,Save the Children International | UNICEF,Save the Children International | UNICEF,NA,UNICEF,Takataka Plastics | UNICEF,Takataka Plastics | UNICEF
GULU,23,18,11,20,12,8,9,24,24,26,ChildFund International | Trócaire | UNICEF | Voluntary Services Overseas (VSO),Takataka Plastics | UNICEF | Voluntary Services Overseas (VSO),Makerere University Walter Reed Project | Voluntary Services Overseas (VSO),CARE International | Makerere University Walter Reed Project | Save the Children International | UNICEF | Voluntary Services Overseas (VSO),CARE International | ChildFund International | Save the Children International | UNICEF | Voluntary Services Overseas (VSO) | World Vision Uganda,CARE International | ChildFund International | Save the Children International | UNICEF,ChildFund International | Voluntary Services Overseas (VSO),ChildFund International | Trócaire | UNICEF | Voluntary Services Overseas (VSO) | World Vision Uganda,ChildFund International | Takataka Plastics | UNICEF | Voluntary Services Overseas (VSO) | World Vision Uganda,ChildFund International | Takataka Plastics | UNICEF | Voluntary Services Overseas (VSO) | World Vision Uganda
KITGUM,27,20,1,20,7,1,9,21,21,1,Adventist Development & Relief Agency (ADRA) | ChildFund International | Danish Refugee Council (DRC) | Food for the Hungry | UNICEF,Adventist Development & Relief Agency (ADRA) | Food for the Hungry | Takataka Plastics | UNICEF,Food for the Hungry,UNICEF,Adventist Development & Relief Agency (ADRA) | ChildFund International | Danish Refugee Council (DRC) | Food for the Hungry | UNICEF,ChildFund International | UNICEF,ChildFund International,Adventist Development & Relief Agency (ADRA) | ChildFund International | Food for the Hungry | UNICEF,ChildFund International | Food for the Hungry | Takataka Plastics | UNICEF,ChildFund International | Food for the Hungry | Takataka Plastics | UNICEF
LAMWO,31,25,11,1,14,0,12,28,29,21,Danish Refugee Council (DRC) | Food for the Hungry | Lutheran World Federation | Street Child of Uganda | Trócaire | UNICEF | United Nations High Commissioner For Refugees,Food for the Hungry | Lutheran World Federation | Takataka Plastics | UNICEF | United Nations High Commissioner For Refugees,Lutheran World Federation | United Nations High Commissioner For Refugees,Lutheran World Federation | UNICEF | United Nations High Commissioner For Refugees,Danish Refugee Council (DRC) | Lutheran World Federation | Save the Children International | Street Child of Uganda | Trócaire | UNICEF | United Nations High Commissioner For Refugees,Lutheran World Federation | Street Child of Uganda | Trócaire | UNICEF | United Nations High Commissioner For Refugees,NA,Lutheran World Federation | Street Child of Uganda | Trócaire | UNICEF | United Nations High Commissioner For Refugees,Dan Church Aid (DCA) | Lutheran World Federation | Takataka Plastics | Trócaire | UNICEF | United Nations High Commissioner For Refugees,Dan Church Aid (DCA) | Lutheran World Federation | Takataka Plastics | Trócaire | UNICEF | United Nations High Commissioner For Refugees
NWOYA,1,10,0,9,7,0,1,19,10,1,UNICEF,Takataka Plastics | UNICEF,NA,UNICEF,Save the Children International | UNICEF,Save the Children International | UNICEF,NA,UNICEF,Save the Children International | Takataka Plastics | UNICEF,Takataka Plastics | UNICEF
OMORO,1,10,0,14,11,0,4,19,21,11,UNICEF,Takataka Plastics | UNICEF,NA,Save the Children International | UNICEF,Save the Children International | UNICEF | World Vision Uganda,Save the Children International | UNICEF | World Vision Uganda,NA,UNICEF | World Vision Uganda,Takataka Plastics | UNICEF | World Vision Uganda,Save the Children International | Takataka Plastics | UNICEF | World Vision Uganda
PADER,12,18,0,17,7,0,8,19,19,1,Adventist Development & Relief Agency (ADRA) | UNICEF,Adventist Development & Relief Agency (ADRA) | Takataka Plastics | UNICEF,NA,UNICEF,Adventist Development & Relief Agency (ADRA) | UNICEF | World Vision Uganda,UNICEF | World Vision Uganda,NA,Adventist Development & Relief Agency (ADRA) | UNICEF | World Vision Uganda,Takataka Plastics | UNICEF | World Vision Uganda,Takataka Plastics | UNICEF | World Vision Uganda
BUHWEJU,29,26,23,17,11,10,1,27,27,28,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation
BUSHENYI,29,26,23,17,11,10,1,27,27,28,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation,Farm Radio International | UNICEF | World Health Organisation,World Health Organisation,Farm Radio International | United States Agency for International Development | World Health Organisation,Farm Radio International,Farm Radio International | Ministry of Security | UNICEF | United States Agency for International Development | World Health Organisation,Farm Radio International | Ministry of Security | United States Agency for International Development | World Health Organisation
