District,Coordination_n,PreventionControl_n,Surveillance_n,CaseManagement_n,WASH_n,ICTInnovation_n,RiskCommunication_n,MentalHealth_n,Logistics_n,HumanResources_n,Coordination,PreventionControl,Surveillance,CaseManagement,WASH,ICTInnovation,RiskCommunication,MentalHealth,Logistics,HumanResources
ABIM,6,5,3,3,4,3,6,4,4,3,Adventist Development & Relief Agency (ADRA) |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Tackling Deadly Diseases in Africa Programme (TDDAP) |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Adventist Development & Relief Agency (ADRA) |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Ministry of Security |  World Health Organisation,Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  UNICEF |  World Health Organisation,Adventist Development & Relief Agency (ADRA) |  Farm Radio International |  UNICEF |  World Vision Uganda,Farm Radio International |  United Nations Population Fund (UNFPA) |  World Health Organisation,Farm Radio International |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,UNICEF |  World Health Organisation |  World Vision Uganda
ADJUMANI,16,13,8,8,11,4,20,9,14,10,Action Against Hunger |  AVSI FOUNDATION |  CARE International |  Danish Refugee Council |  International Rescue Committee (IRC) |  Jesuit Regufee Service (JRS) |  Lutheran World Federation |  Medical Teams International |  Norwegian Refugee Council (NRC) |  Self Help Africa |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  Wome Uganda |  World Health Organisation |  World Vision Uganda,AVSI FOUNDATION |  CARE International  Uganda |  Food for the Hungry |  International Rescue Committee (IRC) |  Lutheran World Federation |  Medical Teams International |  Save the Children International |  Self Help Africa |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,AVSI FOUNDATION |  Food for the Hungry |  International Rescue Committee (IRC) |  Lutheran World Federation |  Medical Teams International |  Ministry of Security |  United Nations High Commissioner For Refugees |  World Health Organisation,AVSI FOUNDATION |  International Rescue Committee (IRC) |  Lutheran World Federation |  Medical Teams International |  UNICEF |  United Nations High Commissioner For Refugees |  Wome Uganda |  World Health Organisation,AVSI FOUNDATION |  CARE International |  Farm Radio International |  Food for the Hungry |  Lutheran World Federation |  Norwegian Refugee Council (NRC) |  Self Help Africa |  UNICEF |  United Nations High Commissioner For Refugees |  Wome Uganda |  World Vision Uganda,Farm Radio International |  Tutapo  United Nations Population Fund (UNFPA) |  World Health Organisation,Action Against Hunger |  AVSI FOUNDATION |  CARE International |  CARE International  Uganda |  Danish Refugee Council |  Farm Radio International |  Food for the Hungry |  International Rescue Committee (IRC) |  Lutheran World Federation |  Medical Teams International |  Norwegian Refugee Council (NRC) |  Save the Children International |  Self Help Africa |  Tutapo  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  Wome Uganda |  World Health Organisation |  World Vision Uganda,Jesuit Regufee Service (JRS) |  Lutheran World Federation |  Norwegian Refugee Council (NRC) |  Tutapo  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,Action Against Hunger |  AVSI FOUNDATION |  CARE International |  Danish Refugee Council |  Food for the Hungry |  Lutheran World Federation |  Mission Aviation Fellowship (MAF) |  Norwegian Refugee Council (NRC) |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  Wome Uganda |  World Health Organisation |  World Vision Uganda,CARE International |  Danish Refugee Council |  Food for the Hungry |  International Rescue Committee (IRC) |  Lutheran World Federation |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  Wome Uganda |  World Health Organisation
AGAGO,4,3,0,1,4,1,5,3,4,2,Adventist Development & Relief Agency (ADRA) |  ChildFund International |  Danish Refugee Council |  UNICEF,Adventist Development & Relief Agency (ADRA) |  Takataka Plastics |  UNICEF,None,UNICEF,Adventist Development & Relief Agency (ADRA) |  ChildFund International |  UNICEF |  World Vision Uganda,ChildFund International,Adventist Development & Relief Agency (ADRA) |  ChildFund International |  Danish Refugee Council |  UNICEF |  World Vision Uganda,ChildFund International |  UNICEF |  World Vision Uganda,ChildFund International |  Takataka Plastics |  UNICEF |  World Vision Uganda,UNICEF |  World Vision Uganda
ALEBTONG,2,3,3,3,2,3,3,2,3,2,UNICEF |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,UNICEF |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,UNICEF |  World Health Organisation
AMOLATAR,2,3,3,3,2,3,4,2,3,2,UNICEF |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Broederlijk Delen |  Farm Radio International |  UNICEF |  World Health Organisation,UNICEF |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,UNICEF |  World Health Organisation
AMUDAT,6,7,4,5,7,5,9,4,6,3,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Mercy Corps |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Mercy Corps |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  ZOA,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Ministry of Security |  World Health Organisation,Doctors with Africa CUAMM |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Doctors with Africa CUAMM |  Farm Radio International |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Mercy Corps |  Save the Children International |  UNICEF |  ZOA,Doctors with Africa CUAMM |  Farm Radio International |  Save the Children International |  United Nations Population Fund (UNFPA) |  World Health Organisation,Doctors with Africa CUAMM |  Farm Radio International |  Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) |  Mercy Corps |  Save the Children International |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  ZOA,Mercy Corps |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation,Doctors with Africa CUAMM |  Mission Aviation Fellowship (MAF) |  UNICEF |  United Nations Population Fund (UNFPA) |  World Health Organisation |  ZOA,Doctors with Africa CUAMM |  UNICEF |  World Health Organisation
AMURIA,6,5,4,2,6,5,9,5,9,4,ChildFund International |  Finnish Mission Uganda / Fida International |  Trócaire |  United Nations Population Fund (UNFPA) |  Welthungerhilfe |  World Health Organisation,Finnish Mission Uganda / Fida International |  United Nations Population Fund (UNFPA) |  United States Agency for International Development |  Welthungerhilfe |  World Health Organisation,Finnish Mission Uganda / Fida International |  Ministry of Security |  United States Agency for International Development |  World Health Organisation,United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  Finnish Mission Uganda / Fida International |  Trócaire |  Welthungerhilfe |  World Vision Uganda,ChildFund International |  Farm Radio International |  United Nations Population Fund (UNFPA) |  United States Agency for International Development |  World Health Organisation,ChildFund International |  Farm Radio International |  Finnish Mission Uganda / Fida International |  Trócaire |  UNICEF |  United Nations Population Fund (UNFPA) |  Welthungerhilfe |  World Health Organisation |  World Vision Uganda,ChildFund International |  Finnish Mission Uganda / Fida International |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,ChildFund International |  Finnish Mission Uganda / Fida International |  Trócaire |  UNICEF |  United Nations Population Fund (UNFPA) |  United States Agency for International Development |  Welthungerhilfe |  World Health Organisation |  World Vision Uganda,Trócaire |  UNICEF |  World Health Organisation |  World Vision Uganda
AMURU,2,2,0,2,1,0,2,2,2,1,Tackling Deadly Diseases in Africa Programme (TDDAP) |  UNICEF,Takataka Plastics |  UNICEF,None,Save the Children International |  UNICEF,UNICEF,None,Save the Children International |  UNICEF,Save the Children International |  UNICEF,Takataka Plastics |  UNICEF,UNICEF
APAC,2,3,3,3,2,3,3,2,3,2,UNICEF |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,Ministry of Security |  United States Agency for International Development |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF,Farm Radio International |  United States Agency for International Development |  World Health Organisation,Farm Radio International |  UNICEF |  World Health Organisation,UNICEF |  World Health Organisation,UNICEF |  United States Agency for International Development |  World Health Organisation,UNICEF |  World Health Organisation
ARUA,14,13,8,10,14,4,20,12,18,10,Amref Health Africa in Uganda |  AVSI FOUNDATION |  CARE International |  Dan Church Aid (DCA) |  Danish Refugee Council |  International Rescue Committee (IRC) |  International Rescue Committee (IRC) |  Norwegian Refugee Council (NRC) |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  Welthungerhilfe |  World Health Organisation |  World Vision Uganda,AVSI FOUNDATION |  CARE International |  CARE International  Uganda |  Cordaid |  International Rescue Committee (IRC) |  International Rescue Committee (IRC) |  Save the Children International |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  Welthungerhilfe |  World Health Organisation |  World Vision Uganda,AVSI FOUNDATION |  CARE International |  Cordaid |  International Rescue Committee (IRC) |  International Rescue Committee (IRC) |  Ministry of Security |  United Nations High Commissioner For Refugees |  World Health Organisation,Amref Health Africa in Uganda |  AVSI FOUNDATION |  Danish Refugee Council |  International Rescue Committee (IRC) |  International Rescue Committee (IRC) |  Save the Children International |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation,AVSI FOUNDATION |  CARE International |  Cordaid |  Danish Refugee Council |  Farm Radio International |  International Rescue Committee (IRC) |  International Rescue Committee (IRC) |  Malteser International |  Norwegian Refugee Council (NRC) |  UNICEF |  United Nations High Commissioner For Refugees |  Welthungerhilfe |  World Vision Uganda |  ZOA,Danish Refugee Council |  Farm Radio International |  United Nations Population Fund (UNFPA) |  World Health Organisation,Amref Health Africa in Uganda |  AVSI FOUNDATION |  CARE International |  CARE International  Uganda |  Cordaid |  Dan Church Aid (DCA) |  Danish Refugee Council |  Farm Radio International |  Humanity & Inclusion |  International Rescue Committee (IRC) |  International Rescue Committee (IRC) |  Norwegian Refugee Council (NRC) |  Save the Children International |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  Welthungerhilfe |  World Health Organisation |  World Vision Uganda |  ZOA,CARE International |  Cordaid |  Danish Refugee Council |  Humanity & Inclusion |  International Rescue Committee (IRC) |  Norwegian Refugee Council (NRC) |  Save the Children International |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation |  World Vision Uganda,Amref Health Africa in Uganda |  AVSI FOUNDATION |  CARE International |  Cordaid |  Dan Church Aid (DCA) |  Danish Refugee Council |  Humanity & Inclusion |  International Rescue Committee (IRC) |  Malteser International |  Mission Aviation Fellowship (MAF) |  Norwegian Refugee Council (NRC) |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  Welthungerhilfe |  World Health Organisation |  World Vision Uganda |  ZOA,Cordaid |  Danish Refugee Council |  International Rescue Committee (IRC) |  International Rescue Committee (IRC) |  Malteser International |  Save the Children International |  UNICEF |  United Nations High Commissioner For Refugees |  United Nations Population Fund (UNFPA) |  World Health Organisation
